tiempos,
65927824.000
67041584.000
71842912.000
67469512.000
65893224.000
67545776.000
65901616.000
73316464.000
67281200.000
71763144.000
73053400.000
73846776.000
71151632.000
65874172.000
66729120.000
65870704.000
73247056.000
68763288.000
70538536.000
71485832.000
72689432.000
72527312.000
66432248.000
66057848.000
65882756.000
67976432.000
68110248.000
71222768.000
72779008.000
72180368.000
72483368.000
65880920.000
72082424.000
66294264.000
65852580.000
65984368.000
70321872.000
66614804.000
70149856.000
67901568.000
67773536.000
65898284.000
65877816.000
65855840.000
69214032.000
69526536.000
71845616.000
73174096.000
77805248.000
69431856.000
66632168.000
71664200.000
65887464.000
65873136.000
69275776.000
71245536.000
65912428.000
70929344.000
67196248.000
65840140.000
72004800.000
66405396.000
65888800.000
65872172.000
66200764.000
65868260.000
66928152.000
