combinar,
98350890
100704626
106305878
98238018
98313462
98251620
105504535
98317710
99759078
108594121
107614668
105328484
103317884
108256866
98301815
107305553
104991479
98574117
98224722
98222667
106800418
107189169
101635289
98264217
104001147
115356846
109935362
103091931
98314335
107034346
98225688
109514241
98250363
102830377
107183069
104267790
98190900
98215767
98294430
102930328
108689056
99611016
105500934
98203584
98254806
98017368
108172341
104210759
98212494
100401182
98749311
104465315
104938498
98315307
98250777
99128490
98254746
106348482
98299524
105416521
100692396
