tiempos,
11283541.000
11352308.000
11234114.000
11079600.000
11900214.000
11060028.000
11244393.000
11068638.000
11903341.000
11580329.000
11551691.000
11076645.000
11069826.000
12233362.000
12269287.000
11616627.000
12225634.000
11506217.000
11859526.000
12202470.000
12180072.000
11061099.000
11582751.000
11069307.000
11052123.000
11477535.000
11068290.000
11058825.000
11058822.000
11135147.000
11056473.000
12132636.000
11063310.000
11514374.000
11432041.000
11068605.000
11067579.000
11079015.000
11401417.000
11062218.000
12026807.000
12078516.000
11400277.000
11091342.000
11377153.000
11087813.000
11061300.000
11061978.000
11061978.000
11077215.000
11066787.000
11638788.000
11073669.000
12329032.000
11060076.000
11972930.000
11685340.000
11073648.000
13563394.000
11619322.000
12350467.000
11067225.000
12253561.000
11073504.000
12260701.000
11283984.000
12291173.000
11848399.000
11079327.000
