rotar,
16689438,
20476857,
11284951,
13930147,
16651740,
11912387,
15296825,
13967146,
18504418,
12986638,
11469694,
14432127,
11756195,
11841900,
11274993,
15125143,
13550337,
14310226,
14589166,
14378115,
11947602,
11652955,
13622191,
11936337,
14953743,
11908014,
13174360,
11361441,
14334712,
11285414,
11444682,
13345281,
13643662,
12600700,
23826215,
14351899,
11287429,
17293259,
11281704,
12709683,
11580342,
17552878,
22264224,
13305553,
13662497,
13775554,
16600925,
