rotar,
5943712,
2984711,
6722483,
4499659,
3838807,
3354755,
3333575,
6439794,
3046505,
3244253,
3363116,
3048379,
4100700,
3396123,
19972505,
3389705,
4655330,
3610803,
3574861,
3403167,
6467874,
5298575,
4867055,
9298510,
3080898,
3729952,
3049634,
3533784,
3086149,
3342980,
3013915,
2982006,
4238277,
9747617,
10127285,
3025034,
3941420,
3725869,
2944344,
5777054,
3451728,
2994742,
3708012,
3833437,
