rotar,
12366568,
15552229,
12332501,
14289335,
14332861,
14141243,
16636254,
12304094,
15489806,
19684470,
15906278,
12147852,
34776975,
18347870,
16610539,
12174768,
15109045,
16350701,
12356591,
17585423,
11302340,
13572916,
19608659,
13753181,
17329139,
12407080,
17515507,
12383322,
11371729,
12246238,
16572521,
13379945,
14446379,
13283678,
18986709,
12404275,
14823714,
14075177,
18474377,
15747016,
13237238,
17020442,
11434002,
13875346,
17316285,
11353401,
16459553,
13936097,
17314535,
13039115,
