rotar,
5558695,
4797121,
5573075,
3723587,
9884763,
3849727,
5208968,
4974279,
4143260,
3607422,
7105321,
6253675,
5567686,
3982631,
7698000,
4668413,
3373403,
5402791,
4156812,
4379104,
5886527,
7411815,
5726803,
4533319,
5728644,
4407743,
4004189,
8613790,
3828314,
3275231,
3608127,
4455939,
3338063,
