rotar,
10135170,
2806897,
4487434,
6336445,
3464397,
5068729,
4097889,
4479732,
3432599,
3028795,
3414458,
9955543,
3053563,
4337806,
4108431,
3584439,
3839230,
3781754,
4245801,
4051488,
3317552,
3051678,
3093974,
3257441,
3378109,
6581673,
3748347,
3009624,
2993744,
4328849,
5181694,
7306215,
9718791,
4552265,
4121453,
3987504,
8378048,
3264565,
5069716,
7521809,
7274669,
10219764,
3473587,
3248087,
3663035,
3291216,
5136199,
4001784,
13313352,
4725626,
5453966,
3514522,
3725151,
7822206,
5840786,
3004291,
4030795,
