rotar,
8983682,
4338731,
3191846,
3158512,
3231727,
3194949,
3450125,
3260847,
3882536,
10411545,
15560916,
4165465,
3249247,
3261315,
5850894,
4035055,
3816391,
7818521,
7887130,
4249165,
3267456,
3285510,
6861909,
12603334,
10651674,
3321776,
3394088,
