sinR,
305961,
308874,
305988,
277326,
286875,
287343,
283719,
566654,
296631,
288288,
308504,
283110,
286320,
279675,
294564,
586673,
294540,
295719,
292473,
289752,
311664,
295947,
301149,
293823,
301470,
293160,
288288,
304032,
571650,
284052,
