small,
13972783,
14517013,
17658482,
19226984,
13951969,
15293957,
16015916,
14030084,
15005282,
14527429,
14075423,
18135373,
12033571,
14891725,
12854575,
14642025,
26392686,
14404346,
15077027,
15345182,
12918427,
11964631,
17714406,
