small,
16384309,
21866194,
15663538,
14576112,
15436414,
14574098,
16123559,
15343287,
49862001,
26177079,
14493866,
15813959,
15528406,
16419448,
14603032,
25545303,
15760518,
20566322,
19196011,
17144974,
21475916,
