rotar,
11529695,
24671937,
13445498,
14378406,
18589814,
16059914,
14990442,
16675962,
13569682,
14404827,
13470555,
16197566,
18246959,
12573697,
13411969,
12820243,
18791056,
13190522,
18662057,
13849673,
12513960,
13571810,
34338947,
15482285,
13930483,
14796194,
11890861,
14788875,
12955156,
13668830,
14589505,
13884353,
25135119,
12328215,
17205337,
13453102,
23267058,
13452759,
16845779,
13565816,
12871390,
13652648,
13891322,
15226839,
12611228,
18226321,
12978207,
14864936,
15401074,
13762536,
