sinR8,
556927,
579953,
285672,
329876,
321240,
325316,
297165,
289014,
284946,
290364,
298344,
286638,
291924,
288903,
288171,
288654,
289008,
303810,
294438,
305733,
282813,
558390,
279648,
281781,
288756,
554843,
552697,
